date,facemask
12/8/19,4
12/15/19,4
12/22/19,4
12/29/19,5
1/5/20,4
1/12/20,2
1/19/20,5
1/26/20,9
2/2/20,6
2/9/20,4
2/16/20,5
2/23/20,17
3/1/20,14
3/8/20,14
3/15/20,18
3/22/20,29
3/29/20,92
4/5/20,99
4/12/20,71
4/19/20,100
4/26/20,92
5/3/20,67
5/10/20,49
5/17/20,43
5/24/20,36
5/31/20,27
6/7/20,28
6/14/20,31
6/21/20,37
6/28/20,43
7/5/20,42
7/12/20,52
7/19/20,43
7/26/20,40
8/2/20,36
8/9/20,33
8/16/20,28
8/23/20,25
8/30/20,22
9/6/20,22
9/13/20,21
9/20/20,18
9/27/20,21
10/4/20,16
10/11/20,17
10/18/20,20
10/25/20,22
11/1/20,13
11/8/20,17
11/15/20,16
11/22/20,15
11/29/20,14